nama_variabel,jenis_makanan,tahun,nama_wilayah,value
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ciamis,0.269
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kuningan,0.581
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Cirebon,0.482
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Majalengka,0.350
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sumedang,0.378
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Indramayu,0.433
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Subang,0.413
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Purwakarta,0.496
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Karawang,0.550
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bekasi,0.479
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bandung Barat,0.342
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pangandaran,0.203
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Bogor,0.382
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Sukabumi,0.714
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Bandung,0.513
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Cirebon,0.421
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Bekasi,0.417
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Depok,0.411
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Cimahi,0.464
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Tasikmalaya,0.677
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Banjar,0.372
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Cilacap,0.067
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Banyumas,0.122
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Purbalingga,0.075
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Banjarnegara,0.086
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kebumen,0.053
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Purworejo,0.067
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Wonosobo,0.030
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Magelang,0.105
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Boyolali,0.103
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Klaten,0.084
